id:0X0X1E5 dlc:8 data:00 00 00 00 00 00 00 00 5

id:0X0X1E5 dlc:8 data:44 FF D1 10 00 00 02 60 5

id:0X0X1E5 dlc:8 data:44 FF D1 3F FD 00 03 8C 5

id:0X0X1E5 dlc:8 data:44 FF D1 50 00 00 02 A0 5

id:0X0X1E5 dlc:8 data:44 FF D1 70 00 00 02 C0 5

id:0X0X1E5 dlc:8 data:44 FF D1 10 00 00 02 60 5

id:0X0X1E5 dlc:8 data:ª
id:0X0X1E5 dlc:8 data:44 FF D1 70 02 00 02 C2 5

id:0X0X1E5 dlc:8 data:44 FF D1 1F FD 00 03 6C 5

id:0X0X1E5 dlc:8 data:44 FF D1 30 00 00 02 80 5

id:0X0X1E5 dlc:8 data:44 FF D1 50 02 00 02 A2 5

id:0X0X1E5 dlc:8 data:44 FF D1 30 02 00 02 82 5

id:0X0X1E5 dlc:8 data:44 FF D1 5F FD 00 03 AC 5

id:0X0X1E5 dlc:8 data:44 FF D1 70 02 00 02 C2 5

id:0X0X1E5 dlc:8 data:44 FF D1 1F FD 00 03 6C 5

id:0X0X1E5 dlc:8 data:44 FF D1 5F FD 00 03 AC 5

id:0X0X1E5 dlc:8 data:44 FF D1 70 04 00 02 C4 5

id:0X0X1E5 dlc:8 data:44 FF D1 10 00 00 02 60 5

id:0X0X1E5 dlc:8 data:44 FF D1 3F FD 00 03 8C 5

id:0X0X1E5 dlc:8 data:ë 
id:0X0X1E5 dlc:8 data:44 FF D1 70 02 00 02 C2 5

id:0X0X1E5 dlc:8 data:44 FF D1 10 00 00 02 60 5

id:0X0X1E5 dlc:8 data:44 FF D1 30 00 00 02 80 5

id:0X0X1E5 dlc:8 data:44 FF D1 50 00 00 02 A0 5

id:0X0X1E5 dlc:8 data:ë 
id:0X0X1E5 dlc:8 data:44 FF D1 30 02 00 02 82 5

id:0X0X1E5 dlc:8 data:44 FF D1 5F FD 00 03 AC 5

id:0X0X1E5 dlc:8 data:44 FF D1 70 02 00 02 C2 5

id:0X0X1E5 dlc:8 data:44 FF D1 10 00 00 02 60 5

id:0X0X1E5 dlc:8 data:44 FF D1 5F FD 00 03 AC 5

